Date,Time,Open,High,Low,Close
2020-01-01,00:00:00,0.70129,0.70159,0.70053,0.70066
2020-01-02,00:00:00,0.70104,0.70195,0.69785,0.69823
2020-01-03,17:00:00,0.69831,0.69863,0.69302,0.69549
2020-01-05,00:00:00,0.69415,0.69422,0.69354,0.69365
2020-01-06,00:00:00,0.69366,0.69576,0.69252,0.69385
2020-01-07,00:00:00,0.69383,0.69391,0.6859,0.68676
2020-01-08,00:00:00,0.68677,0.68849,0.6849,0.68653
2020-01-09,00:00:00,0.6865,0.68801,0.68502,0.68531
2020-01-10,17:00:00,0.68535,0.69067,0.68506,0.6905
2020-01-12,00:00:00,0.68977,0.68988,0.68947,0.68964
2020-01-13,00:00:00,0.68981,0.69197,0.68947,0.69011
2020-01-14,00:00:00,0.69006,0.69095,0.6885,0.68994
2020-01-15,00:00:00,0.69,0.69164,0.68773,0.69028
2020-01-16,00:00:00,0.69026,0.69333,0.6888,0.68971
2020-01-17,17:00:00,0.68972,0.69109,0.68721,0.68793
2020-01-19,00:00:00,0.68723,0.68762,0.68717,0.6876
2020-01-20,00:00:00,0.68763,0.68884,0.6855,0.68723
2020-01-21,00:00:00,0.68728,0.68804,0.68421,0.68423
2020-01-22,00:00:00,0.68426,0.68561,0.68272,0.68417
2020-01-23,00:00:00,0.68424,0.68785,0.68296,0.68417
2020-01-24,17:00:00,0.68427,0.6857,0.68193,0.68271
2020-01-26,00:00:00,0.68122,0.68182,0.68115,0.68153
2020-01-27,00:00:00,0.68152,0.68168,0.67524,0.6759
2020-01-28,00:00:00,0.67586,0.67647,0.6737,0.67592
2020-01-29,00:00:00,0.67592,0.67772,0.67355,0.67477
2020-01-30,00:00:00,0.67478,0.67548,0.67001,0.67176
2020-01-31,17:00:00,0.67177,0.67286,0.66828,0.66939
2020-02-02,00:00:00,0.66848,0.66872,0.66839,0.66841
2020-02-03,00:00:00,0.66841,0.67069,0.66835,0.66899
2020-02-04,00:00:00,0.66899,0.67413,0.66789,0.67399
2020-02-05,00:00:00,0.67392,0.6774,0.6724,0.67461
2020-02-06,00:00:00,0.67469,0.67649,0.67268,0.67318
2020-02-07,17:00:00,0.67315,0.67352,0.6662,0.6686
2020-02-09,00:00:00,0.66662,0.66733,0.66662,0.66733
2020-02-10,00:00:00,0.66733,0.67071,0.66664,0.66844
2020-02-11,00:00:00,0.66842,0.67364,0.66822,0.67149
2020-02-12,00:00:00,0.67149,0.67497,0.67125,0.67341
2020-02-13,00:00:00,0.67342,0.67449,0.67069,0.67163
2020-02-14,17:00:00,0.67162,0.67311,0.67098,0.67159
2020-02-16,00:00:00,0.67208,0.67208,0.67155,0.67183
2020-02-17,00:00:00,0.67184,0.67333,0.67114,0.67121
2020-02-18,00:00:00,0.67122,0.67136,0.66735,0.66866
2020-02-19,00:00:00,0.66865,0.67072,0.66651,0.66764
2020-02-20,00:00:00,0.66761,0.66927,0.66101,0.66117
2020-02-21,17:00:00,0.66114,0.66356,0.65858,0.66314
2020-02-23,00:00:00,0.65906,0.6605,0.65906,0.65941
2020-02-24,00:00:00,0.65967,0.66194,0.65872,0.65997
2020-02-25,00:00:00,0.66006,0.66222,0.65864,0.6599
2020-02-26,00:00:00,0.66,0.66066,0.6542,0.65473
2020-02-27,00:00:00,0.65474,0.65916,0.65433,0.65731
2020-02-28,17:00:00,0.6573,0.6585,0.64342,0.64568
2020-03-01,00:00:00,0.64768,0.64857,0.64722,0.6478
2020-03-02,00:00:00,0.6483,0.65677,0.64821,0.65335
2020-03-03,00:00:00,0.65374,0.66439,0.65096,0.65826
2020-03-04,00:00:00,0.65826,0.66273,0.6577,0.66196
2020-03-05,00:00:00,0.66196,0.66366,0.6584,0.66128
2020-03-06,17:00:00,0.66128,0.66569,0.65852,0.6629
2020-03-08,00:00:00,0.66016,0.66223,0.65936,0.6608
